iso3,country_name,cost_of_living_index,cpi_and_rent_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,health_care_index,pollution_index,property_price_to_income_ratio,year_last_update
AFG,Afghanistan,21.669596244962033,12.842407488159257,2.2741946508385764,18.955349329620347,15.183278294195349,43.141725225048496,,24.61294339747462,24.77036852036852,84.44057475188711,9.094640891221163,
ALA,Aland Islands,,,16.56302893591515,71.65412425089092,78.9137146275618,,,72.25961074084806,82.22222222222223,18.045977011494255,,
ALB,Albania,46.89201744660876,31.330782208467344,12.700338186121698,47.923084866060634,44.19424223687073,49.679822340662874,106.42591700215976,55.50070451304977,48.14005590717919,77.1460185702708,15.113614146264085,
GGY,Guernsey,78.02025120381943,67.5635013030896,55.04432202844459,87.1114056585712,73.49010047553716,142.3704308378036,216.03558179533772,75.88935574229693,61.111111111111114,11.49425287356322,11.376564277588168,
DZA,Algeria,28.18680373117097,16.932586036154557,3.45865099349289,38.330860716594756,16.508040867428562,38.76112641952222,107.53116386163285,46.97836559974253,54.521036604486675,63.64961506006065,15.935695148306765,
ASM,American Samoa,,,9.311662994035453,,,,,54.411764705882355,,78.44827586206897,,
AND,Andorra,56.76349886111003,45.90890055375694,32.913403534694915,54.61748563634886,56.66210317869434,138.1255114757901,,86.46325290066885,75.55555555555556,22.978927203065133,8.93303368114333,
AGO,Angola,42.3571797999124,33.4842896018978,22.861361433229213,40.22245265759549,34.05611477426929,193.2621512871502,128.5307669225744,34.16709289729842,36.160714285714285,91.24004335551523,9.182210879486444,
AIA,Anguilla,,,,,93.11232021876475,,,75.07002801120449,77.08333333333333,,1.3589285714285715,
ATG,Antigua And Barbuda,,,33.73985947546929,94.4293687344582,52.97627129985034,,,48.625528642829686,50.0,38.218390804597696,,
ARG,Argentina,41.919413057797094,28.12268977992627,11.60477993623023,42.08951521620342,47.70300574562864,52.52686278921114,125.26527688022395,36.83945027773361,67.7979466707925,50.374297589244016,13.540341885002583,
ARM,Armenia,40.72160282918142,28.771661790323254,14.464782921922525,36.40330096826017,40.3859462311624,45.788833058422824,123.61472802863148,77.8930886242114,59.4087368392924,61.54305399348636,18.797973342664783,
ABW,Aruba,75.14697037558675,53.96687927372198,28.609348485015644,74.31749850163635,69.47979047027431,86.56451965937771,163.20123344327564,69.19406444980729,79.16666666666667,33.91065830721003,4.443525774121676,
AUS,Australia,71.50043548835633,54.44877133259065,34.03393474152237,81.66798872168283,68.2534229636081,148.66456860520515,191.80026036079505,52.59097779239218,71.86185170919909,27.8708160851217,8.32246923003069,
AUT,Austria,73.06199548734125,51.132015480778556,24.876692000929708,75.27854346908045,73.00968287431623,127.23502572123257,199.76450261265643,70.67680086821358,77.24665832281875,20.659384161795113,9.80993579943543,
AZE,Azerbaijan,30.85441038436216,20.910269694782357,9.004803731935466,29.89211368550551,35.02670463191078,45.19942747532722,113.37416783476797,68.4258426526267,49.01623385333103,72.02926326808905,17.77915697258796,
BHS,Bahamas,100.74371552525861,77.1560872836712,48.916170538650675,103.52629139569571,113.72459272164915,66.1806354450694,120.57892187676329,43.36116744801116,39.52020202020202,60.75630252100841,7.620413083833832,
BHR,Bahrain,47.765486631090106,35.44040775594514,20.684401016096608,46.2389710884314,46.76114828549561,131.55145917174815,166.60257818259987,77.38244927837412,66.60331384015595,71.56634622423367,4.954698064115365,
BGD,Bangladesh,22.810494040604624,13.5478164862324,2.4582215387312925,27.421932183401655,17.279321591189305,36.57018879346216,73.51121532774778,38.5769680497228,41.96714490689692,85.42980581715791,14.568001747737089,
BRB,Barbados,,,24.671927591034105,76.74466036331977,72.66749099872689,,,55.28643065902388,71.88271604938272,24.391078270388615,15.247984506885992,
BLR,Belarus,31.869489543907626,22.014856339021506,10.216551803763563,32.90426823329861,34.61652613049905,69.34607173591047,137.9472710063869,51.66753208350538,49.780243020331724,44.24492775909181,10.02635957500235,
BEL,Belgium,70.27018885721927,48.8506492108452,23.20644242010925,69.28365938891731,81.85920568359334,132.09660184674502,174.7674690084032,50.53743927057218,75.75895459417657,49.45540302182958,6.152110345342537,
BLZ,Belize,47.31503868026969,31.830737797193393,13.292402220835545,54.20587194310825,38.943053271950866,72.4856682638658,,48.212028456553526,47.368480774376025,52.80135573239022,6.393578359010469,
BEN,Benin,,,4.3569498595216745,32.43660569813946,38.69227655563898,,,63.338383430295195,51.388888888888886,97.41379310344827,,
BMU,Bermuda,138.03966973910377,120.47482259369444,99.44558574355533,147.20325917551617,149.3207246603253,118.11585305469738,187.27494302427118,63.55293853692378,68.85439360929557,14.948867478025692,8.672848990938261,
BTN,Bhutan,23.94776096649163,14.124017520343845,2.362695262664214,23.175597627103425,15.276046926280543,79.43789460080768,172.08845339091917,70.21843825249398,73.28042328042328,51.60843920145191,14.060258249641322,
BOL,Bolivia,27.53141963821488,18.848940923335924,8.453979906598548,29.234769597896303,22.16039171050094,47.051817968323576,97.96173473796776,35.80718463387245,47.14976881643549,72.59365708532462,11.590007854366581,
BES,Bonaire,,,27.139120350137517,,83.28582413299405,,,62.94642857142858,,,,
BIH,Bosnia And Herzegovina,39.42047857207694,25.12148370844257,8.00223711227289,40.64091785444243,32.26522138982332,71.45033170191525,138.07082451284688,58.984776852873196,54.64819257106475,59.934114177663226,12.67644449146955,
BWA,Botswana,32.810432829475374,20.78507613506558,6.387907059771816,32.46920089844665,30.405617105682815,83.94845187992401,155.3709143593414,48.8814188179305,62.69675925925927,45.65574355679304,10.071766258925669,
BRA,Brazil,32.01652399466839,21.385364957046345,8.657377087702397,32.2557978943711,27.49299040324047,49.16311648158019,118.54932070124806,36.09598454409917,59.25688269357349,52.7699454146685,15.132520912132351,
VGB,British Virgin Islands,,,49.10509459247756,84.84184415575116,72.4337017678303,,,59.31372549019608,,68.10344827586206,,
BRN,Brunei,49.167175489214884,33.748074505222924,15.287798482079465,68.6255317440367,33.7056950035577,144.34889169392437,194.79822599061683,70.64057248223246,74.18981481481482,35.48798201909146,4.704294404829993,
BGR,Bulgaria,42.44391708325471,28.054285016573456,10.826524455293326,44.5628888846867,43.113950456105925,86.10513306266753,148.10787412202268,64.64911553873027,58.297690930965054,62.53797752289334,8.722622626309864,
BFA,Burkina Faso,,,13.57412761514343,58.160210318100894,25.2593463046075,,,53.47462514417531,49.30555555555556,,1.6843401556907625,
BDI,Burundi,,,11.156785219164304,44.78718653866111,36.155669759179574,,,43.443627450980394,34.44444444444444,87.84482758620689,32.23954526076939,
KHM,Cambodia,34.7289822240041,23.40212241349058,9.84121774112263,42.14330214090895,25.260566432587893,24.26003621374156,70.93744344963841,50.41347291227967,51.55550562358786,77.08047102203716,36.828501219954916,
CMR,Cameroon,41.24795723051336,29.176941857013333,14.725108646648872,39.21816239424345,43.95926575767747,12.146523589023504,31.136305738323685,34.83932522025585,45.52777777777778,91.90262067745597,45.628864921706935,
CAN,Canada,64.16525914636163,48.9857971336284,30.812425097943812,72.06231662440669,64.6503073575264,129.71076704348476,174.26866831376498,54.33940309467481,68.53578396717177,29.816904717535675,7.4117156899169485,
CPV,Cape Verde,47.30939669552101,29.755936142811233,8.740331711605979,59.12902596863072,36.48158769453084,20.098522527798327,108.42122367273855,49.68148255291422,67.28395061728395,81.03448275862068,15.003335955110611,
CYM,Cayman Islands,118.03122534414182,98.08917127230663,74.21386083645653,123.49923176689828,100.9901675948724,156.88228420360193,200.22322131866042,71.11534669802573,62.276234567901234,23.95644283121597,7.011314108730929,
CAF,Central African Republic,,,,,,,,21.986102133160955,41.666666666666664,84.82758620689656,9.550697900929297,
TCD,Chad,,,9.908691843441227,40.64802859461663,,,,29.688693659281896,41.52777777777778,60.560344827586206,2.6907085064170126,
CHL,Chile,41.3582361189979,27.92525827509377,11.842836928434927,45.31024154485714,41.755496005496894,55.60369455554689,110.2746108489221,39.31763164558689,63.63824336446211,77.31411262550306,15.248683215699048,
CHN,China,30.4542588070656,20.955964576949935,9.584281272002107,35.627337426180375,21.04630586999364,102.22164890754408,139.61563494985853,76.87677051788819,69.35613853304612,76.45609534864295,19.045118177524767,
COL,Colombia,33.06443000536,23.08561746514583,11.138641174711864,34.77652925445287,27.638672224441173,43.55118033542015,107.06897561871584,38.84729880472597,68.89916400540315,62.23821397227199,16.749287992419397,
COM,Comoros,,,19.553051813298463,,25.750919081394514,,,54.65686274509805,,,11.145404663923182,
COK,Cook Islands,,,7.005124498689163,67.83592040230755,52.420841602082,,,69.08263305322129,,8.620689655172415,3.5268041786743933,
CRI,Costa Rica,52.797287772518885,37.97337017888069,20.225668104226703,60.378516850837606,47.09959466101365,54.83409954061287,129.6808167968682,45.92150030182898,64.79891037238627,41.43972916008844,9.637579393892926,
