iata_code,passenger_volume
ATL,103902992
PEK,95786442
DXB,88242099
LAX,84557968
ORD,79828183
LHR,78014598
HND,76476251
HKG,72665078
PVG,70001237
CDG,69471442
AMS,68515425
DFW,67092194
CAN,65887473
FRA,64500386
IST,63859785
DEL,63451503
CGK,63015620
SIN,62219573
ICN,62157834
DEN,61379396
BKK,60860557
JFK,59392500
KUL,58558440
SFO,55822129
MAD,53386075
CTU,49801693
LAS,48566803
BCN,47262826
BOM,47204259
YYZ,47054696
SEA,46934194
CLT,45909899
LGW,45561694
SZX,45558409
TPE,44878703
MEX,44732418
KMG,44729736
MUC,44577241
MCO,44511265
MIA,44071313
PHX,43921670
SYD,43410355
EWR,43393499
MNL,42022484
SHA,41884059
XIY,41857406
FCO,40968756
IAH,40696189
NRT,40631193
SVO,40092806
CKG,38715210
DMK,38299757
MSP,38034341
GRU,37774000
BOS,36288042
SGN,35900000
DOH,35867252
HGH,35570411
DTW,34701497
JED,33917282
MEL,33704854
FLL,32511053
ORL,32042475
SAW,31385841
BOG,30989932
DME,30700000
CJU,29846712
LGA,29786769
PHL,29585754
DUB,29582321
ZRH,29396094
CPH,29177833
KIX,27983093
PMI,27970655
MAN,27901708
OSL,27482315
LIS,26669755
ARN,26642034
BWI,26369411
AYT,25931659
STN,25904573
NKG,25822936
GMP,25267408
BLR,25047272
RUH,25038000
BRU,24783911
DUS,24640564
XMN,24485239
VIE,24392805
CGO,24299073
SLC,24198816
YVR,24166122
DCA,23928248
CSX,23764820
AUH,23760561
CUN,23601509
FUK,23484678
TAO,23210530
BNE,23205702
WUH,23129400
HAN,23068227
CTS,22916914
IAD,22892504
DPS,22863647
HAK,22584815
MDW,22460236
SCL,22316093
SAN,22173493
MXP,22169167
LIM,22046042
SUB,21882335
CGH,21859453
ATH,21737787
URC,21500901
JNB,21180060
SYX,21005001
TLV,20781226
TSN,20711697
OKA,20569935
TXL,20460688
CCU,20167698
HNL,19950125
TPA,19624284
MAA,19599438
PDX,19080454
AKL,19020573
HEL,18892386
HRB,18810317
AGP,18628876
YUL,18160223
VKO,18139000
KWE,18109610
HAM,17622997
DLC,17503810
THR,17464216
GVA,17351816
SHE,17342626
HYD,17148069
BSB,16912680
HKT,16855637
PUS,16403541
YYC,16275862
GIG,16243253
LED,16125520
ESB,15845878
LTN,15799219
WAW,15730330
PTY,15616065
DAL,15562738
PRG,15415001
STL,14730656
ITM,14541936
TNA,14319264
BNA,14134448
NNG,13915542
AUS,13889305
AEP,13797710
PER,13759170
ALC,13713061
HOU,13435672
EDI,13432485
NCE,13304782
BUD,13097239
LPA,13092117
OAK,13072245
BHX,12983436
TYN,12980259
SXF,12865315
ADB,12823701
LHW,12816443
GDL,12808000
OTP,12804191
SJC,12480232
FOC,12469235
CGN,12384223
BGY,12336137
KNO,12245116
MSY,12009512
CGQ,11662943
UPG,11653387
RDU,11653086
MCI,11503936
SHJ,11360000
TFS,11249327
KHN,11212161
CAI,11081892
HET,10969050
STR,10962247
SMF,10912097
DAD,10860235
OPO,10787000
CPT,10693063
KBP,10554757
SJW,10528364
MHD,10459377
SNA,10423578
VCE,10371380
EZE,10327203
LYS,10280192
COK,10274598
CNX,10230070
NGO,10177713
CNF,10164077
CEB,10050940
GLA,9897825
MTY,9771630
HFE,9690716
LIN,9548363
ZUH,9425951
NGB,9390527
CMN,9357427
VCP,9332631
WNZ,9285621
TLS,9264611
SDU,9247185
CLE,9140445
CTA,9120913
SAT,9050000
MRS,9002086
PIT,8988016
ADD,8900000
IKA,8852232
RSW,8842549
IND,8770308
FAO,8727000
JOG,8634369
INC,8505613
KEF,8260949
BLQ,8198156
NAP,8134492
BRS,8100000
ADL,8090000
POA,8012114
BKI,8006446
HLP,7934520
IBZ,7903892
BSL,7888725
KWL,7862015
CVG,7842149
PNQ,7837331
YEG,7807384
REC,7776881
SSA,7735685
CRL,7698767
BPN,7510090
ALG,7500000
CMH,7500000
HER,7480408
AMD,7405282
ACE,7389025
PEN,7232097
LJG,7105345
TIJ,7103200
NBO,7039175
GOI,6876491
GOT,6758520
VLC,6745394
CWB,6722058
WUX,6683380
CHC,6566598
YNT,6503015
SOF,6206400
KHH,6472085
OOL,6457086
BDL,6436407
SKG,6395523
LOS,6367478
BTH,6355113
PBI,6322452
MED,6300638
BOD,6203824
TSA,6143445
JJN,6118876
BGO,6110944
RIX,6097765
FUE,6049401
WLG,6049194
MLA,6014548
NAY,5946886
FOR,5935288
RGN,5916597
CIA,5885812
HAJ,5870104
BFS,5844000
KRK,5835189
PMO,5775274
HAV,5713859
AER,5691822
TUN,5691037
PLM,5677234
EIN,5653402
XNN,5627696
ADA,5594630
JAX,5591886
DUR,5527747
NTE,5489899
SVX,5404000
NCL,5349751
BEG,5343420
RHO,5301517
PSA,5233118
KOJ,5220710
SIP,5128738
SVQ,5108807
KCH,5095193
OVB,5007302
BIO,4973712
ANC,4966000
ABQ,4958417
LPL,4950000
CNS,4898189
EMA,4875791
CXR,4858362
SWA,4851015
YOW,4839677
BUF,4726000
TFN,4704863
BRI,4686016
OMA,4611906
GDN,4611714
LCY,4530439
PKU,4465977
TRD,4427733
DLM,4377101
SJO,4369333
HDY,4367364
RAK,4359865
JAI,4345927
YWG,4305744
LKO,4272024
GAU,4237474
SRG,4224295
ONT,4217366
NUE,4186961
SVG,4177673
MUN,4176556
CAG,4157612
MSQ,4114512
YHZ,4083188
KBV,4079564
LBA,4074500
HRG,4027291
TRV,4018095
JHG,3990867
PVD,3937947
PDG,3937251
KTW,3892941
BJV,3877603
FLN,3843328
MIR,3831924
LXA,3718350
BDO,3696175
LOP,3677477
MDC,3671997
BDJ,3613473
MRU,3588777
TAE,3560124
DVO,3553201
MIG,3543403
SYZ,3530525
KRR,3498126
ABV,3462830
PNK,3447254
MAH,3434615
TZX,3361450
MKE,3350000
BEL,3311817
KMJ,3241633
CUZ,3209153
FNC,3200000
TBS,3164139
SDJ,3152569
JHB,3124799
NGS,3110686
ZAG,3092047
KOA,3088641
GYN,3088274
VIX,3021949
LUX,3020000
PQC,3000000
CBR,2995470
SAL,2984764
KMI,2976563
AWZ,2939958
KIH,2926752
BBI,2907867
CCJ,2886915
CGB,2882450
SZB,2880586
MYJ,2863239
LGB,2852294
LIH,2832281
SPU,2818176
UFA,2814330
ELP,2807734
YTZ,2800000
IFN,2784616
PAT,2781276
LGK,2767707
ROV,2766000
COR,2762393
SFB,2752410
CJJ,2732755
KLO,2711036
HIJ,2669210
KUF,2649426
MAO,2645205
SCQ,2644925
KZN,2623423
GUA,2579123
ACC,2547527
BRE,2540084
DJJ,2533445
CZX,2510512
SSH,2509277
CEI,2503375
USM,2500000
DAR,2496394
GZT,2480979
HHN,2471900
HBA,2440792
UKB,2435110
LAD,2430794
NAT,2403135
ECN,2400000
ALB,2393506
LEJ,2361534
UTH,2350005
MRQ,2343346
DBV,2323065
MZG,2320249
ISG,2308065
KJA,2297468
RUN,2293242
BUR,2282000
IDR,2256760
VTZ,2242645
SXR,2227863
MYY,2188048
MRV,2180178
VVO,2179000
KRT,2178097
IGU,2177298
CJB,2175212
DKR,2114269
ATQ,2087118
DIY,2071089
ABJ,2070000
MCZ,2068245
DRW,2057307
IXE,2054005
KHV,2051000
IXB,2040765
URT,2032042
IKT,2010000
DTM,2000695
PSP,1998206
KBR,1988212
NAN,1984898
ASR,1980247
