country_name,country_param_used,currency,iso3
Afghanistan,Afghanistan,AFN,AFG
Aland Islands,Aland Islands,EUR,ALA
Albania,Albania,ALL,ALB
Alderney,Alderney,GBP,GGY
Algeria,Algeria,EUR,DZA
American Samoa,American Samoa,USD,ASM
Andorra,Andorra,EUR,AND
Angola,Angola,USD,AGO
Anguilla,Anguilla,USD,AIA
Antigua And Barbuda,Antigua And Barbuda,XCD,ATG
Argentina,Argentina,USD,ARG
Armenia,Armenia,AMD,ARM
Aruba,Aruba,USD,ABW
Australia,Australia,AUD,AUS
Austria,Austria,EUR,AUT
Azerbaijan,Azerbaijan,AZN,AZE
Bahamas,Bahamas,USD,BHS
Bahrain,Bahrain,BHD,BHR
Bangladesh,Bangladesh,BDT,BGD
Barbados,Barbados,BBD,BRB
Belarus,Belarus,BYN,BLR
Belgium,Belgium,EUR,BEL
Belize,Belize,USD,BLZ
Benin,Benin,XOF,BEN
Bermuda,Bermuda,USD,BMU
Bhutan,Bhutan,BTN,BTN
Bolivia,Bolivia,BOB,BOL
Bonaire,Bonaire,USD,BES
Bosnia And Herzegovina,Bosnia And Herzegovina,BAM,BIH
Botswana,Botswana,BWP,BWA
Brazil,Brazil,BRL,BRA
British Virgin Islands,British Virgin Islands,USD,VGB
Brunei,Brunei,SGD,BRN
Bulgaria,Bulgaria,BGN,BGR
Burkina Faso,Burkina Faso,XOF,BFA
Burundi,Burundi,USD,BDI
Cambodia,Cambodia,USD,KHM
Cameroon,Cameroon,XAF,CMR
Canada,Canada,CAD,CAN
Cape Verde,Cape Verde,CVE,CPV
Cayman Islands,Cayman Islands,KYD,CYM
Central African Republic,Central African Republic,XAF,CAF
Chad,Chad,XAF,TCD
Chile,Chile,CLP,CHL
China,China,CNY,CHN
Colombia,Colombia,COP,COL
Comoros,Comoros,EUR,COM
Cook Islands,Cook Islands,NZD,COK
Costa Rica,Costa Rica,CRC,CRI
Croatia,Croatia,EUR,HRV
Cuba,Cuba,USD,CUB
Curacao,Curacao,ANG,CUW
Cyprus,Cyprus,EUR,CYP
Czech Republic,Czech Republic,CZK,CZE
Democratic Republic of the Congo,Democratic Republic of the Congo,USD,COD
Denmark,Denmark,DKK,DNK
Djibouti,Djibouti,DJF,DJI
Dominica,Dominica,XCD,DMA
Dominican Republic,Dominican Republic,DOP,DOM
Ecuador,Ecuador,USD,ECU
Egypt,Egypt,EGP,EGY
El Salvador,El Salvador,USD,SLV
Equatorial Guinea,Equatorial Guinea,XAF,GNQ
Eritrea,Eritrea,USD,ERI
Estonia,Estonia,EUR,EST
Eswatini,Eswatini,ZAR,SWZ
Ethiopia,Ethiopia,USD,ETH
Falkland Islands,Falkland Islands,GBP,FLK
Faroe Islands,Faroe Islands,DKK,FRO
Fiji,Fiji,FJD,FJI
Finland,Finland,EUR,FIN
France,France,EUR,FRA
French Guiana,French Guiana,EUR,GUF
French Polynesia,French Polynesia,XPF,PYF
French Southern Territories,French Southern Territories,EUR,ATF
Gabon,Gabon,XAF,GAB
Gambia,Gambia,GMD,GMB
Georgia,Georgia,GEL,GEO
Germany,Germany,EUR,DEU
Ghana,Ghana,USD,GHA
Gibraltar,Gibraltar,GBP,GIB
Greece,Greece,EUR,GRC
Greenland,Greenland,DKK,GRL
Grenada,Grenada,XCD,GRD
Guadeloupe,Guadeloupe,EUR,GLP
Guam,Guam,USD,GUM
Guatemala,Guatemala,GTQ,GTM
