data_points,item_id,lowest_price,average_price,highest_price,item_name,country_name,currency,country_param_used,iso3
15,1,100.0,150.0,300.0,"Meal at an Inexpensive Restaurant, Restaurants",Afghanistan,AFN,Afghanistan,AFG
14,2,500.0,681.482175,1111.0,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants",Afghanistan,AFN,Afghanistan,AFG
7,3,250.0,250.0,300.0,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants",Afghanistan,AFN,Afghanistan,AFG
6,4,100.0,200.0,500.0,"Domestic Draft Beer (0.5 Liter), Restaurants",Afghanistan,AFN,Afghanistan,AFG
3,5,200.0,500.0,500.0,"Imported Beer (0.33 Liter Bottle), Restaurants",Afghanistan,AFN,Afghanistan,AFG
18,6,20.0,27.424505692307694,40.0,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants",Afghanistan,AFN,Afghanistan,AFG
18,7,10.0,10.250714384615385,13.259287,"Bottled Water (0.33 Liter), Restaurants",Afghanistan,AFN,Afghanistan,AFG
18,8,40.0,50.95697352787219,60.0,"Milk (Regular, 1 Liter), Markets",Afghanistan,AFN,Afghanistan,AFG
15,9,10.0,16.181933932773163,25.0,"Fresh White Bread (500 g Loaf), Markets",Afghanistan,AFN,Afghanistan,AFG
18,11,84.00000000336,107.23076924607386,120.00000004799999,"Eggs (12, Large Size), Markets",Afghanistan,AFN,Afghanistan,AFG
13,12,200.0,267.77777777777777,500.0,"Local Cheese (1 kg), Markets",Afghanistan,AFN,Afghanistan,AFG
18,13,20.0,22.307692307692307,30.0,"Bottled Water (1.5 Liter), Markets",Afghanistan,AFN,Afghanistan,AFG
7,14,60.0,120.0,1500.0,"Bottle of Wine (Mid-Range), Markets",Afghanistan,AFN,Afghanistan,AFG
8,15,30.0,43.333333333333336,60.0,"Domestic Beer (0.5 Liter Bottle), Markets",Afghanistan,AFN,Afghanistan,AFG
5,16,50.0,72.5,80.0,"Imported Beer (0.33 Liter Bottle), Markets",Afghanistan,AFN,Afghanistan,AFG
7,17,60.0,150.0,200.0,"Cigarettes (Pack of 20, Marlboro), Markets",Afghanistan,AFN,Afghanistan,AFG
9,18,10.0,20.0,30.0,"One-Way Ticket (Local Transport), Transportation",Afghanistan,AFN,Afghanistan,AFG
13,19,170.0,235.55555555555554,300.0,"Chicken Fillets (1 kg), Markets",Afghanistan,AFN,Afghanistan,AFG
8,20,500.0,850.0,2000.0,"Monthly Public Transport Pass (Regular Price), Transportation",Afghanistan,AFN,Afghanistan,AFG
21,24,61.0,69.71428571428571,85.0,"Gasoline (1 Liter), Transportation",Afghanistan,AFN,Afghanistan,AFG
3,25,550000.0,600000.0,600000.0,"Volkswagen Golf 1.5 (or Equivalent New Compact Car), Transportation",Afghanistan,AFN,Afghanistan,AFG
15,26,3500.0,5900.0,12000.0,"1 Bedroom Apartment in City Centre, Rent Per Month",Afghanistan,AFN,Afghanistan,AFG
13,27,2500.0,3500.0,8000.0,"1 Bedroom Apartment Outside of City Centre, Rent Per Month",Afghanistan,AFN,Afghanistan,AFG
14,28,8000.0,12777.777777777777,20000.0,"3 Bedroom Apartment in City Centre, Rent Per Month",Afghanistan,AFN,Afghanistan,AFG
13,29,4000.0,6277.777777777777,15000.0,"3 Bedroom Apartment Outside of City Centre, Rent Per Month",Afghanistan,AFN,Afghanistan,AFG
11,30,2500.0,4790.685876623376,10000.0,"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage), Utilities (Monthly)",Afghanistan,AFN,Afghanistan,AFG
10,33,5000.0,11428.57142857143,20000.0,"Broadband Internet (Unlimited Data, 60 Mbps or Higher), Utilities (Monthly)",Afghanistan,AFN,Afghanistan,AFG
10,34,700.0,957.0,1000.0,"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data), Utilities (Monthly)",Afghanistan,AFN,Afghanistan,AFG
